Cell line	Tissue Supergroup	Metastatic Tissue	Primary Tissue	Tissue Diagnosis	Age	Age Unit	Gender	Ethnicity	SNP Cluster Number	In Final Analysis Set	Growth Media	Freeze Media	CCLE ID	Sanger ID
EFM-19	Breast	Effusion, Pleural	Breast	Carcinoma	50	Years	Female	Caucasian	561	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	EFM-19	EFM-19
EFM-192A	Breast	NA	Breast	Adenocarcinoma	46	Years	Female	Caucasian	102	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	EFM-192A	NA
EFM-192B	Breast	NA	Breast	Adenocarcinoma	46	Years	Female	Caucasian	102	FALSE	RPMI-1640, 20% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
EFM-192C	Breast	NA	Breast	Adenocarcinoma	46	Years	Female	Caucasian	102	FALSE	RPMI-1640, 20% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
EFO-27	Ovary	NA	Ovary	Adenocarcinoma	36	Years	Female	NA	439	TRUE	80% RPMI 1640 + 20% FBS + 2 mM L-glutamine + 1x MEM non-essential amino acids + 1 mM sodium pyruvate	FBS, 90%; DMSO, 10%	EFO-27	EFO-27
EJM	Lymphoid	Peritoneum	Blood	Multiple Myeloma	58	Years	Female	NA	375	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	EJM	NA
EKVX	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	508	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	EKVX
EPLC-272H	Lung	NA	Lung	Carcinoma	57	Years	Male	Caucasian	239	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	EPLC-272H	EPLC-272H
ES-2	Ovary	NA	Ovary	Adenocarcinoma Clear Cell	47	Years	Female	African	438	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	ES-2	NA
EVSA-T	Breast	Ascites	Breast	Carcinoma	NA	NA	NA	NA	560	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	EVSA-T	EVSA-T
FaDu	Head-Neck	NA	Nasal Pharynx	Carcinoma Squamous Cell	NA	NA	NA	NA	256	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	FaDu	FADU
Farage	Lymphoid	NA	Blood	Lymphoma Non-Hodgkins	NA	NA	NA	NA	481	TRUE	#N/A	#N/A	NA	NA
FU97	Stomach	NA	Stomach	Adenocarcinoma	66	Years	Male	Japanese	585	TRUE	DMEM, 10% FBS and 10mg/L insulin	Complete growth medium, 90%; DMSO, 10%	FU97	NA
G-361	Skin	NA	Skin	Melanoma	31	Years	Male	Caucasian	403	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	G-361	G-361
G-402	Kidney	NA	Kidney	Leiomyoma	9	Months	Female	NA	164	TRUE	McCoy's 5a, 10% FBS, 2mM L-Glutamine, 100mM HEPES	Complete growth medium, 90%; DMSO, 10%	G-402	NA
G111	Brain	NA	Brain	Glioma	NA	NA	NA	NA	296	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
G112	Brain	NA	Brain	Glioma	NA	NA	NA	NA	293	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
G118	Brain	NA	Brain	Glioma	NA	NA	NA	NA	176	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
G120	Brain	NA	Brain	Glioma	NA	NA	NA	NA	295	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
G121	Brain	NA	Brain	Glioma	NA	NA	NA	NA	294	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	NA	NA
G122	Brain	NA	Brain	Glioma	NA	NA	NA	NA	293	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS 90%; DMSO, 10%	NA	NA
G124	Brain	NA	Brain	Glioma	NA	NA	NA	NA	292	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS 90%; DMSO, 10%	NA	NA
G130	Brain	NA	Brain	Glioma	NA	NA	NA	NA	291	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
G140	Brain	NA	Brain	Glioma	NA	NA	NA	NA	290	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
G141	Brain	NA	Brain	Glioma	NA	NA	NA	NA	176	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
G142	Brain	NA	Brain	Glioma	NA	NA	NA	NA	176	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
G22	Brain	NA	Brain	Glioma	NA	NA	NA	NA	289	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
G28T	Brain	NA	Brain	Glioma	NA	NA	NA	NA	288	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
G44	Brain	NA	Brain	Glioma	NA	NA	NA	NA	284	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
G59	Brain	NA	Brain	Glioma	NA	NA	NA	NA	287	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
G61	Brain	NA	Brain	Glioma	NA	NA	NA	NA	286	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
G84	Brain	NA	Brain	Glioma	NA	NA	NA	NA	285	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
G96	Brain	NA	Brain	Glioma	NA	NA	NA	NA	284	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
GA-10	Lymphoid	NA	Blood	Malignant Lymphoma - Burkitts Type	41	Years	Male	Caucasian	480	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	GA-10	NA
GP2d	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	44	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	GP2d	Gp2D
GP5d	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	44	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	GP5d
GR-M	Skin	NA	Skin	Melanoma	36	Years	Male	Caucasian	69	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	GR-M	NA
GRANTA-519	Lymphoid	NA	Lymph Node	Lymphoma B-cell	58	Years	Female	Caucasian	479	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	GRANTA-519	NA
GTL-16	Stomach	NA	Stomach	Adenocarcinoma	62	Years	Female	NA	514	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	NA	NA
H322T	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	145	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HBL-100	Breast	NA	Breast	Normal	27	Years	Female	Caucasian	336	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCA-7	Colo-Rectal	NA	Colon	Adenocarcinoma	58	Years	Female	NA	262	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC-15	Lung	NA	Lung	Carcinoma Non-Small Cell	48	Years	Male	NA	502	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC-15	NA
HCC1011	Kidney	NA	Kidney	Carcinoma Renal Cell	37	Years	Male	Hispanic	209	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC1143	Breast	NA	Breast	Adenocarcinoma Ductal	52	Years	Female	Caucasian	559	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC1143	HCC1143
HCC1162	Uterus	NA	Uterus	Adenocarcinoma	NA	NA	NA	NA	107	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC1171	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	155	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC-1171	NA
HCC1187	Breast	Soft Tissue	Breast	Adenocarcinoma Ductal	41	Years	Female	Caucasian	558	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC1187	HCC1187
HCC12	Kidney	NA	Kidney	Carcinoma Renal Cell	45	Years	Female	NA	208	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC1263	Colo-Rectal	NA	Colon	Adenocarcinoma	20	Years	Female	African	115	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC1319	Kidney	NA	Kidney	Carcinoma Renal Cell	68	Years	Male	Caucasian	113	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC1359	Lung	NA	Lung	Carcinoma Large Cell	NA	NA	NA	NA	190	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC-1359	NA
HCC1395	Breast	NA	Breast	Adenocarcinoma Ductal	43	Years	Female	Caucasian	557	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC1395	HCC1395
HCC1419	Breast	NA	Breast	Adenocarcinoma Ductal	42	Years	Female	Hispanic	556	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC1419	HCC1419
HCC1428	Breast	Effusion, Pleural	Breast	Adenocarcinoma	49	Years	Female	Caucasian	555	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC1428	NA
HCC1482	Uterus	NA	Uterus	Adenocarcinoma	62	Years	Female	Caucasian	195	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC1493	Breast	NA	Breast	Adenocarcinoma	43	Years	Male	NA	194	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC1500	Breast	NA	Breast	Adenocarcinoma Ductal	32	Years	Female	African	554	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC1500	NA
HCC1534	Lung	NA	Lung	Unknown	NA	NA	NA	NA	189	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC1569	Breast	NA	Breast	Carcinoma Metaplastic	70	Years	Female	African	553	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC1569	NA
HCC1576	Other	NA	Adrenal	Unknown	NA	NA	NA	NA	68	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC1599	Breast	NA	Breast	Adenocarcinoma Ductal	44	Years	Female	Caucasian	552	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	HCC1599	HCC1599
HCC1806	Breast	NA	Breast	Carcinoma Squamous Cell	60	Years	Female	African	551	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth media, 10% DMSO	HCC1806	HCC1806
HCC193	Lung		Lung	Adenocarcinoma	71	Years	Female	Caucasian	8	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC1937	Breast	Soft Tissue	Breast	Adenocarcinoma Ductal	23	Years	Female	Caucasian	550	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC1937	HCC1937
HCC1954	Breast	Soft Tissue	Breast	Adenocarcinoma Ductal	61	Years	Female	East Indian	549	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC1954	HCC1954
HCC202	Breast	NA	Breast	Adenocarcinoma Ductal	82	Years	NA	Caucasian	548	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC202	NA
HCC2157	Breast	NA	Breast	Adenocarcinoma Ductal	48	Years	Female	African	268	FALSE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	HCC2157	HCC2157
HCC2218	Breast	Soft Tissue	Breast	Adenocarcinoma Ductal	38	Years	Female	Caucasian	547	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC2218	HCC2218
HCC2270	Lung	NA	Lung	Adenocarcinoma	64	Years	Female	Caucasian	188	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC2279	Lung	NA	Lung	Adenocarcinoma	52	Years	Female	NA	346	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC-2279	NA
HCC2302	Lung	NA	Lung	Adenocarcinoma	NA	NA	NA	NA	96	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC2688	Breast	NA	Breast	Adenocarcinoma Ductal	NA	NA	Female	NA	382	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC2885	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	187	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC2911	Breast	NA	Breast	Carcinoma	NA	NA	NA	NA	335	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC2935	Lung	NA	Lung	Adenocarcinoma	39	Years	Male	Caucasian	368	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	HCC2935	NA
HCC33	Lung	NA	Lung	Carcinoma Small Cell	53	Years	Male	Caucasian	4	TRUE	RPMI-1640, 20% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC-33	NA
HCC364	Lung	NA	Lung	Adenocarcinoma	76	Years	Male	NA	154	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC364	NA
HCC366	Lung	NA	Lung	Carcinoma Non-Small Cell	80	Years	Female	NA	95	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC-366	NA
HCC38	Breast	Soft Tissue	Breast	Adenocarcinoma Ductal	50	Years	Female	Caucasian	546	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC38	HCC38
HCC4006	Lung	NA	Lung	Adenocarcinoma	50	Years	Male	Caucasian	345	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC4006	NA
HCC4011	Lung	NA	Lung	Adenocarcinoma	53	Years	Male	Caucasian	367	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC4017	Lung	NA	Lung	Carcinoma Large Cell	NA	NA	NA	NA	153	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC44	Lung	NA	Lung	Carcinoma Non-Small Cell	54	Years	Female	NA	238	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC-44	NA
HCC461	Lung	NA	Lung	Adenocarcinoma	NA	NA	NA	NA	56	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC515	Lung	NA	Lung	Adenocarcinoma	NA	NA	NA	NA	152	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC60	Ovary	NA	Ovary	Carcinoma	26	Years	Female	African	226	FALSE	#N/A	#N/A	NA	NA
HCC630	Ovary	NA	Ovary	Carcinoma	32	Years	Female	Hispanic	203	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCC70	Breast	NA	Breast	Adenocarcinoma Ductal	49	Years	Female	African	545	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC70	HCC70
HCC78	Lung	NA	Lung	Adenocarcinoma	65	Years	Male	NA	237	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC-78	NA
HCC827	Lung	NA	Lung	Adenocarcinoma	NA	NA	Female	Caucasian	366	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCC827	NA
HCC89	Kidney	NA	Kidney	Carcinoma Renal Cell	64	Years	Female	Caucasian	207	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HCT 116	Colo-Rectal	NA	Colon	Carcinoma	NA	NA	Male	NA	213	TRUE	McCoys 5A,  10% FBS, 2mM L-glutamine	50% FBS, 40% media, 10% DMSO	HCT 116	HCT-116
HCT-15	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	Male	NA	523	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	HCT-15	HCT-15
HCT-8	Colo-Rectal	NA	Ileum	Adenocarcinoma	NA	NA	NA	NA	523	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HCT-8	NA
HEC-1-A	Uterus	Endometrium	Uterus	Adenocarcinoma	71	Years	Female	NA	106	TRUE	McCoys 5A, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HEC-1-A	NA
HEL	Lymphoid	NA	Blood	Erythroleukemia	30	Years	Male	NA	582	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	HEL	HEL
HeLa	Cervix	NA	Cervix	Adenocarcinoma	NA	NA	Female	African	268	TRUE	EMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	HeLaSF
Hep G2	Liver	NA	Liver	Carcinoma Hepatocellular	15	Years	Male	Caucasian	72	TRUE	EMEM ATCC, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Hep G2	NA
HEp-2	Cervix	NA	Cervix	Adenocarcinoma	NA	NA	NA	NA	268	FALSE	EMEM, 10% FBS, 2mM Glutamine	90% FBS, 10% DMSO	NA	NA
HEY	Ovary	NA	Ovary	Carcinoma	NA	NA	NA	NA	437	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS ; 10% DMSO	Hey-A8	NA
HGC-27	Stomach	NA	Stomach	Carcinoma	NA	NA	NA	NA	67	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HGC-27	HGC-27
HL-60	Lymphoid	NA	Blood	Leukemia	NA	NA	NA	NA	12	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HL-60	HL-60
HM7	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	175	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS, 10% DMSO	NA	NA
HMY-1	Skin	NA	Skin	Melanoma	62	Years	Male	Japanese	66	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HN	Head-Neck	NA	Oral Cavity	Carcinoma Squamous Cell	NA	NA	NA	NA	255	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HN	HN
HNT-34	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	47	Years	Female	NA	581	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HOP-62	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	365	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	HOP-62
HOP-92	Lung	NA	Lung	Carcinoma Large Cell	NA	NA	NA	NA	344	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	HOP-92
HPAC	Pancreas	NA	Pancreas	Adenocarcinoma	64	Years	Female	Caucasian	322	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	HPAC	NA
HPAF-II	Pancreas	NA	Pancreas	Adenocarcinoma	NA	NA	Male	Caucasian	423	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	HPAF-II	HPAF-II
Hs 255.T	Colo-Rectal	NA	Colon	Adenocarcinoma	46	Years	Female	Caucasian	114	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Hs 255.T	NA
Hs 294T	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	223	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Hs 294T	NA
Hs 38.T	Ovary	NA	Ovary	Teratoma	NA	NA	Female	NA	14	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
Hs 578T	Breast	NA	Breast	Carcinoma	74	Years	Female	Caucasian	544	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Hs 578T	Hs-578-T
Hs 675.T	Colo-Rectal	NA	Colon	Carcinoma	NA	NA	Male	Caucasian	16	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Hs 675.T	NA
Hs 683	Brain	NA	Brain	Glioma	NA	NA	NA	NA	283	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	Hs 683	NA
Hs 695T	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	128	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Hs 695T	NA
Hs 69ST	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	128	FALSE	#N/A	#N/A	NA	NA
Hs 746T	Stomach	NA	Stomach	Carcinoma	NA	NA	NA	NA	594	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Hs 746T	NA
Hs 766T	Pancreas	NA	Pancreas	Carcinoma	46	Years	Male	Caucasian	422	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	Hs 766T	NA
Hs 839.T	Skin	NA	Skin	Melanoma	42	Years	Female	Caucasian	111	TRUE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	Hs 839.T	NA
Hs 852.T	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	605	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Hs 852.T	NA
Hs 895.T	Skin	NA	Skin	Melanoma	48	Years	Female	Caucasian	110	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	Hs 895.T	NA
Hs 936.T	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	600	TRUE	#N/A	#N/A	Hs 936.T	NA
Hs 940.T	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	402	TRUE	#N/A	#N/A	Hs 940.T	NA
HS-Sultan	Lymphoid	NA	Blood	Lymphoma	7	Years	Male	African	476	FALSE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
HT	Lymphoid	Ascites	Lymph Node	Lymphoma Diffuse Mixed	70	Years	Male	Caucasian	478	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	90% Complete Growth Media; 10% DMSO	HT	HT
HT-1080	Lung	NA	Lung	Fibrosarcoma	35	Years	Male	Caucasian	151	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	HT-1080	HT-1080
HT-115	Colo-Rectal	NA	Colon	Carcinoma	NA	NA	NA	NA	43	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HT115	NA
HT-144	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	401	TRUE	#N/A	#N/A	HT-144	HT-144
HT-29	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	Female	Caucasian	172	TRUE	McCoys 5A, 10% FBS, 2mM L-Glutamine	50% FBS, 40% media, 10% DMSO	HT-29	HT-29
HT-55	Colo-Rectal	NA	Colon	Carcinoma	NA	NA	NA	NA	261	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HT55	HT55
huH-1	Liver	NA	Liver	Carcinoma Hepatocellular	53	Years	Male	Japanese	250	TRUE	DMEM, 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	huH-1	NA
HuH-7	Liver	NA	Liver	Carcinoma Hepatocellular	57	Years	Male	Japanese	162	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine 	90% FBS; 10% DMSO	HuH-7	HuH-7
HUP-T3	Pancreas	NA	Pancreas	Adenocarcinoma	66	Years	Male	Japanese	421	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HUP-T3	HuP-T3
HUP-T4	Pancreas	Ascites	Pancreas	Carcinoma	60	Years	Male	Japanese	323	TRUE	EMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	HUP-T4	HuP-T4
